INCIDENCECODE,CLUSTER
4887291240464,4
4890600856688,-1
4890808524622,18
4890982519855_1,72
489570103006,4
4895760939085,15
4900841321306_0,39
4900841321306_1,17
4908494320289_1,55
4908494320289_2,-1
4914460109512_1,4
4917299775121_1,-1
4917993667088_1,15
4923387832963_1,7
4923387832963_2,24
4925493641620_0,39
4925493641620_1,17
4926702925815,4
4929440872766,88
4934083363614,4
4939064392381_0,18
4939064392381_1,19
494521234912,38
4946085557742,4
4959524323128,98
4963103712611_1,7
496395176140,1
4966726332749_1,73
4970953051228,1
4975496373251,0
4977502664203,40
4978805556031,-1
4981437935437_1,-1
4983082220355_0,-1
4983082220355_1,7
4983082220355_2,46
4983082220355_3,-1
4988777313319_0,25
4988777313319_1,3
4988823335495_1,91
4989241952964_0,87
4989241952964_1,17
4992573602531,1
4995062473708,4
5000237263828,116
5004689161763,62
5009264693656,4
5009804573308_1,16
5012452934290,10
5018232225904,4
5026396929793,16
5038474565945_0,109
5038474565945_1,4
5038798243254_1,32
503901086221_1,32
5039070370916,1
5042865213057,18
5044951581093,65
5052886534966_1,55
5062151485198_1,24
5062950636374,10
5065645439129,20
5066573845181,13
5069211902431_1,9
5069211902431_2,4
5069211902431_3,4
5072981321344_1,32
5077014273905,39
5077816689806,-1
5080693048543_0,-1
5080693048543_1,36
5088358057448_1,59
5088358057448_2,13
5090071883779,-1
5092284130644_1,4
509286503308,65
5098217411137,4
5099418221525_1,22
5101546617472,76
5111885948478_1,-1
5116402409772,16
5126005526481,-1
5128999783673,16
5130364800652_0,39
5130364800652_1,17
5131403590877_0,80
5131403590877_1,81
5132170941149,-1
5146400019965,19
5146525050874,84
5149775812543,18
5150287303491,18
515200865019_1,100
5153565447917_1,-1
5155233916477_0,39
5155233916477_1,17
5158773986929,73
5159170667093,24
5161826705081_1,5
5164164441410,75
5166705820233,1
5171233113391,38
5173355754198_1,84
5173560663891_0,4
5173560663891_1,3
5173712716428_1,32
5186474324027_1,-1
518732413820_0,56
518732413820_1,24
5193863346991,-1
5203250910189,-1
5206079982187,4
5206790756232,85
5209597447822_1,93
5214795521019,-1
5216682961844,16
5218408466549,22
5225879992188_0,40
5225879992188_1,1
5226628229159_0,21
5226628229159_1,105
5226628229159_2,75
5234742841813_1,4
5234742841813_2,85
5234742841813_3,3
5240514545514_1,3
5240645757861,-1
5241451764696,-1
5243381179515_1,45
5247080917274,4
5248945356569,1
5254433960209_1,4
5257746011037_1,35
5259428851764_1,37
5260986138642_1,-1
5262908097558,54
5264044277903_0,4
5264044277903_1,24
5264467923573,40
526499084790,-1
5265534503278,4
5270796279171,-1
527205620174,96
5273462532491_0,56
5273462532491_1,33
5276549617301,1
5277572124725_1,4
5277572124725_2,24
528318118494,18
5283203586319,54
5285012607267,1
5286153448080,60
5288087587132_0,3
5288087587132_1,32
5288087587132_2,-1
5289821538014,4
5297487535754,-1
530093404933,4
530954583799,38
5312258272200_1,5
5312258272200_2,81
5313501036781_1,-1
5313501036781_2,7
5313501036781_3,-1
5313501036781_4,4
5313501036781_5,99
5315960565749,-1
5316886531997_0,34
5316886531997_1,-1
5317131343851_0,-1
5317131343851_1,91
5329010667530_0,5
5329010667530_1,81
5334825283705,85
5338657304434_0,-1
5338657304434_1,75
534158966955_1,-1
5342671517914,0
5344539435954,4
5347191085609_1,-1
5349615155102_1,32
5350486184363,13
5353709414392,15
5354853718644_1,1
5356448710044,24
5361361676017_0,-1
5361361676017_1,76
5362763343242_1,5
5365104423231,4
536566232891,1
5370843593915_1,3
5371238347692_1,97
5373022306357_1,32
537584352597_0,4
537584352597_1,-1
537584352597_2,45
5376266552842,16
5376736753077,85
5382680973364,4
5387225052544,-1
5389065950753_0,84
5389065950753_1,-1
5394475372660_1,30
5394475372660_2,-1
5394591581780_1,4
540227844332,3
5402523976912,4
5415424982400,-1
5415942249989,1
5418937731935,23
542335782033_1,-1
542335782033_2,26
542335782033_3,27
5424351678196,24
5424543613333,-1
5428287153401,38
542901179186_0,9
542901179186_1,34
542901179186_2,-1
5431567214789,-1
5431736387832_1,32
5439865747621_1,9
5439865747621_2,76
5445932534855,4
5447249339145,1
5447743947420_0,-1
5447743947420_1,3
5448502570994_1,75
545236912194,59
5455945479209,54
545912442273_0,39
545912442273_1,17
5460130540774_1,22
5463052582622_1,9
5464208093113_1,-1
5467618542359_0,6
5467618542359_1,15
5470110914915_1,-1
5470110914915_2,-1
5502042031740_1,-1
5504413606768,16
5505243930701,86
5505587634214_1,24
5507559266574_1,-1
5507559266574_2,5
5511870157517_1,-1
5512054500638,16
5516764872722_1,26
5516764872722_2,27
5517207552514_1,49
5517385299823_0,-1
5517385299823_1,3
5520036675964_1,-1
5520036675964_2,4
5521532513454,1
5527333829586,114
5530059443841_1,5
5532230739594_0,7
5532230739594_1,-1
553373835344,1
5534871816629_0,25
5534871816629_1,13
5537380689787_0,25
5537380689787_1,7
5537380689787_2,25
5537380689787_3,-1
5545689512237,65
5546024962470_1,97
5548612944413,16
5554709582354,39
5555821246954,15
5556937175487_1,64
5560604445585,-1
5563698034657_0,34
5563698034657_1,106
556378093627_1,16
5566589966324_1,83
5566589966324_2,4
556727846341,-1
5568488208422_1,33
5568856395244,98
5572861291670,-1
5580043174910_1,33
5582375844769,-1
5582503105925,38
5582889801701_0,-1
5582889801701_1,42
5582889801701_2,4
5590602361859,1
5601812634667,4
5606792485011_1,4
5607326664020,-1
5617800111736,38
5619690215199_0,85
5619690215199_1,14
5623180973745,0
5624131854039,4
5641005723511,-1
5644290939248,1
5645178672607,4
5646665232667_1,4
564833910700_1,4
5651215028967_0,20
5651215028967_1,31
5651342670172,-1
5652386241023,-1
5652492892581_0,-1
5652492892581_1,55
5656399448260,16
5659347704047,4
566205012785_1,4
566680250108_0,4
566680250108_1,4
566680250108_2,106
5667850413863,4
5668537718703_1,85
5677684308449_1,24
5678037566198_0,4
5678037566198_1,-1
5681425888060_0,39
5681425888060_1,17
5684788175879,16
5684977577766_1,4
568657748480,85
5688451528458,30
5690893050878_1,29
5692019633467,4
5694397271772,81
5700080162916,4
5707565909571,-1
5717511265064,21
5726370138459_1,4
5732721917138_0,4
5732721917138_1,4
5736095948684,1
5738996698740,1
5742926299001_1,97
5743027747322,11
574481229975_0,-1
574481229975_1,-1
5746213757254,115
5749723370556_0,-1
5749723370556_1,4
5751826981267,92
5753504172568,16
575463466494_1,46
575463466494_2,9
575463466494_3,-1
575499952537_0,58
575499952537_1,4
575499952537_2,13
5756414318278_1,7
576580617359_0,9
576580617359_1,7
576580617359_2,24
5768059012509,38
5775343846523,100
5777150958444,-1
5784432025671_0,-1
5784432025671_1,-1
5786681221137_1,13
5788590993857_0,46
5788590993857_1,5
5788590993857_2,4
5795233291278,-1
5796339154753,61
5798597148244,16
5799142017360,72
5804076299469_1,53
5804076299469_2,74
5808918539269,-1
581863906934_0,-1
581863906934_1,-1
5818825694722_1,-1
5820653959074,64
5825797441597_0,113
5825797441597_1,24
5830470849837,4
5830962899508_1,83
5842402490655,-1
5843129803124_1,60
5848117989879_0,20
5848117989879_1,5
5849776716389,4
585340361510_1,-1
585340361510_2,14
585340361510_3,-1
5855859608048,0
5856111471217_1,7
5859138555354,1
5860222650358,4
5861742408188_1,-1
5864039481071,-1
5878116998676_0,-1
5878116998676_1,93
5879379590735_1,-1
5883384966481,102
5893304308590,1
589540484378,16
589703801753,7
5899260668645,18
5900625547562,-1
5902908312982,4
5904514650668,20
5905996809731,16
590636021053,111
5908653618465,4
5909542803683_1,-1
5912563992377,12
5913460735297_1,-1
5914081575124_1,9
5915019352616,14
5920867141146,115
5921592145456_1,5
5922119145139_1,4
5922119145139_2,7
5922119145139_3,5
5922119145139_4,33
5930408216079_0,9
5930408216079_1,106
5932303272604,1
5932914183172_1,3
5939039484515_0,9
5939039484515_1,9
594569783162_1,104
5948163073249,85
5950941615666,48
5953066833009_0,46
5953066833009_1,47
5960340535460_1,35
5961538815170_0,-1
5961538815170_1,-1
5961538815170_2,17
596166342242,4
5965023219711,-1
5965361040595_1,4
5965791189083,114
5972728387298,-1
5978298907072,85
5982853800630_0,7
5982853800630_1,4
5986944890999,74
5987401282996_1,7
5987401282996_2,-1
5987551138868_0,4
5987551138868_1,59
5987551138868_2,13
598875044464_1,4
5991441607710,16
5997617162849,-1
6000172962500_1,24
6003021156557,16
6007660623054,48
6007676043720,15
6012509615927,7
6014158002696_1,-1
6019233401936,1
6020119314067_1,-1
6020119314067_2,9
6024002369637,4
6025185028435,-1
6028043441098_1,-1
603089463184_1,-1
603089463184_2,-1
6032839759229_0,39
6032839759229_1,17
6033710454184_1,4
6033710454184_2,4
6035765495074_1,46
6035765495074_2,5
6035765495074_3,81
6037040586553,16
6038360695909,22
6038864230190_1,-1
6044749356013,1
6045583446940,16
6048028822852,4
6050500550030,18
6052704080255_1,-1
6052704080255_2,-1
6052907340035_1,-1
6060779126048,16
6063781625800_0,85
6063781625800_1,81
6066935163386_1,32
6070102765563,16
6072045336872,16
6072150746252,4
6075069859485,4
6075875100361_1,103
608056604694_0,58
608056604694_1,7
608056604694_2,34
6080790144714,-1
6104205068665,4
6115779473227_1,9
6116238917793,4
6118699297013_1,96
612443838248,73
6129944697164,7
613048143933,-1
6130948091499,-1
6146682386917,50
6153300473335_1,110
6153300473335_2,80
615425576658,-1
6157144849946,47
6159053636496,-1
6160992155493,81
6165963539651_1,26
6165963539651_2,27
6166904547890,1
6167962457177,4
6169817257269_0,-1
6169817257269_1,-1
6169989020167_1,35
6171727829580_1,-1
617267646874,4
6177948525353_0,31
6177948525353_1,1
6178439101296_0,93
6178439101296_1,16
6182367804423,1
6191190679479,4
6192574297610,4
619772564103_1,15
6198526357774_0,77
6198526357774_1,74
620470409578_0,4
620470409578_1,24
6206443310175_0,38
6206443310175_1,5
6206443310175_2,4
6206443310175_3,107
6206443310175_4,3
6207241891773,29
6207556909428,4
6210973841385,71
6211397550532,4
6213026628813,4
6213611241558,-1
6214297964941,9
621512402884,4
6225253725096_1,49
6227906845805_0,4
6227906845805_1,3
6228011761032,-1
6232790143827,3
6235255812849,85
6236253317874,9
6237039773345,1
6239048230869,20
6241494612241,40
624258828712_0,28
624258828712_1,4
624258828712_2,47
6253077053921_1,-1
6256062285456,1
6259406700397_1,78
6259406700397_2,4
6267606714765,-1
627468443169_0,-1
627468443169_1,3
627472812616,29
6279688312443,13
6282420102808,-1
6283153135801,76
628333036776,111
6287220470792_0,71
6287220470792_1,-1
629392794423,110
6294322280304,1
6294770556489_1,4
6308869279707,0
6308988003783_0,4
6308988003783_1,4
6314410938684_1,3
6324778703969_1,32
6326669179158,1
6327101780559_1,103
6329271534219,81
6333001544713_1,76
6347783761634,16
6350865309037,1
635121299551,18
6355113258347_1,93
6355167763793_0,34
6355167763793_1,3
6365804205922_1,-1
6371700239931_1,5
6371700239931_2,4
6371700239931_3,107
6371700239931_4,3
6371893393395,10
6375324355193_1,-1
63758666719_1,69
6378540951927,-1
6387517879424,18
6390853020484,63
6393454392928,4
6393715925123,16
6394156125641_1,3
6395214979968_0,1
6395214979968_1,9
6395214979968_2,100
6397728909361,39
641069565650_0,4
641069565650_1,-1
6413184119942,15
6413844296346,16
6428261230094,15
6430956262351_1,-1
6431199384149,50
6433992351740_1,-1
6439770777789_0,16
6439770777789_1,-1
6442142716081_1,-1
6443085121840,1
6445569171788,1
6453719430431_0,13
6453719430431_1,-1
6455125494602_1,81
6456125602231,81
6462100486145,38
646274474094_0,-1
646274474094_1,91
6463482904909_1,81
6465159700199_0,47
6465159700199_1,-1
6470054088802,54
6470306419345,1
6471593799340,1
6473172111879,84
6474424202454,16
6476597909015_1,33
6482348262816_1,4
6488332232931,16
6489497194186,77
6489543335571,4
6492391681664,65
6493799738089,25
6493945692353,4
6494634172997,7
6503387591582_1,4
6503387591582_2,46
6505475456865_1,-1
6506235325839,1
6519570124933,4
6525680396843,3
6526658225832_1,4
6529512151853,105
6530165877762,16
6531293602123,1
6533066787869_0,20
6533066787869_1,-1
6533066787869_2,75
6535566178417,79
6540499275237_1,-1
6541625103260,18
6545183534527_0,4
6545183534527_1,64
6563345705094,38
6568004044432,4
6568732824115,1
6569677908966,-1
6579017297240_1,24
6580788248029,113
6582576029204_0,-1
6582576029204_1,7
6582576029204_2,5
6582576029204_3,81
658379860465_1,97
6588814890365,-1
658911115682,-1
6591341888878_1,18
6598412176517_0,4
6598412176517_1,-1
6598412176517_2,-1
6598412176517_3,-1
6602495786919,11
6602701174703_1,4
6602934763273,1
6608116230525,74
6611214316899_0,20
6611214316899_1,-1
661207017834_1,103
6613236258400,95
6614260532455,4
6614523812247_1,90
6617045134178,4
6623686951748_0,48
6623686951748_1,48
6625372138772,-1
6625651603248,29
6643144166495_0,4
6643144166495_1,16
664433203954_1,7
6645241111056,-1
6647880719229,-1
6649272292219,48
6649861879808_1,32
6653536844528,-1
6662953064149,21
6664676018090,72
6665226407933_1,-1
6669660081274,24
6677750812297,16
6686983566167,-1
6690133621068,79
669111017673,40
6694742243284_1,-1
6694742243284_2,69
6695553132541_1,70
6695553132541_2,13
6696765038872_0,4
6696765038872_1,104
6697222084121,4
6697607356656,56
6701349995149_1,4
6702232111231,16
6702668711254,4
6704111007870_0,-1
6704111007870_1,61
6705037927669,-1
6705289001140_0,4
6705289001140_1,7
6705289001140_2,57
6705336392930,-1
6709274410224,1
6715993394919_0,11
6715993394919_1,12
6715993394919_2,13
6717107765130_1,32
6723806386723_0,4
6723806386723_1,45
672844920843_0,-1
672844920843_1,-1
6731456974406,7
6733432571674,111
6737841539265_1,7
6737841539265_2,4
6743794167543_1,104
6747529173690,18
6752685390032_0,29
6752685390032_1,13
6755539485808_0,39
6755539485808_1,17
6757086539877,16
6762364234144_1,24
6768411533122,48
6770860481734_1,-1
6770860481734_2,31
6773088212726,1
67741161539_1,24
6780267598885,79
6784555831396_0,-1
6784555831396_1,30
6784555831396_2,4
6784555831396_3,-1
6788842158075,115
6790108220664,58
6791604765553_1,32
6805134825070_0,-1
6805134825070_1,16
6809463574165_0,3
6809463574165_1,7
6815853645544,4
6818334394402_1,-1
6824707467819,1
6828676383615,75
6832058969902,68
6843510786831,1
6845225506938,55
6846304056461,2
6846573757750_0,4
6846573757750_1,4
6847860393951,16
6848034490577_1,-1
6851467587625,4
685584399447,4
6856602784403_1,4
6858009445452,-1
6860773003441_0,4
6860773003441_1,4
686771043159,47
687186054723,1
688196784615_0,39
688196784615_1,17
6883738474304,16
6891790012733,86
6898019563373_0,7
6898019563373_1,-1
6902991293495,1
6903552128871_0,109
6903552128871_1,22
6906805311706,16
6908001859519_1,4
6908237317675,1
6911517946763,77
6917553735794,4
6918642086159_1,9
6918642086159_2,92
6918994042851_1,96
6919303248667,106
6929798749098_1,4
6929798749098_2,24
6930314995602,-1
6935856889642,60
6936870164390,55
6937626836502_1,-1
6937626836502_2,101
6944945048838_0,20
6944945048838_1,-1
6944945048838_2,31
694682847048,39
6950259001404,4
6959794671539,-1
6960110558002,-1
6962180015488_1,4
6964416800326,98
6968015016871_1,52
6968015016871_2,53
6973539594648_1,82
6973539594648_2,23
698084920184,48
6980870533806,-1
6986801685588,4
6991142497865_0,65
6991142497865_1,99
6994048247394_0,7
6994048247394_1,24
7012174763119_0,4
7012174763119_1,4
7020381711846_1,4
7027139912829,75
7027579091860_1,24
7032747862952,4
7033487074500,-1
7033500512018,92
7037607758604_1,88
7042195262000,-1
7044637457857,4
7045068435256_1,29
7045068435256_2,-1
7046085960315_1,-1
7046085960315_2,66
7050472255868,31
7051771543148_1,4
7053128232765_1,69
7053128232765_2,5
7053128232765_3,70
7056548569004_0,-1
7056548569004_1,46
7056548569004_2,9
7056548569004_3,70
7056548569004_4,66
7062980841286,25
7067579849150,1
706764183466,1
7072292546749_0,4
7072292546749_1,-1
7074155562136,4
7076149108373,1
7080925898315_1,33
7086407410051_1,32
7088649082807,4
7094329731586_1,4
7095150033956,50
7097252462322,4
7100432893992_1,3
7102341936740_0,4
7102341936740_1,108
7102385929738,16
7103642530106,4
7104225652748,16
7113000048022,76
7118743249782,16
7119285307411_1,4
7119285307411_2,5
7119579065575_1,105
7119579065575_2,75
7120172443876,106
7120185353242_0,13
7120185353242_1,89
7127369249757,4
7134313825180,38
7135856826042,42
7136733203411,16
7140238264737,95
7149356990006,65
7154531863233,16
7156691264592,18
7161169618425,1
7167460762573,16
7167759394805_1,13
7172781480321,106
7173686670823_1,4
7173686670823_2,-1
7173686670823_3,82
7173686670823_4,23
7175247189794,66
7182676689282,3
7192758765254,3
7193162279238_1,-1
7193370525858,18
7202438942583_0,4
7202438942583_1,13
7206441752860_0,4
7206441752860_1,4
7208024920756,1
7213397607879_1,-1
7214723992504,-1
7217417941948,1
7218253501600,55
7224773345737_1,7
7227372861726_0,-1
7227372861726_1,29
7229635370381_0,109
7229635370381_1,4
7236630916994_0,-1
7236630916994_1,5
7236630916994_2,4
7240259603258,76
7240569065118,-1
7247839353587,95
7249164433457,4
7251898959577_1,32
7255153230176,4
7255641465135_0,7
7255641465135_1,24
7259922486533_1,9
7269540332362_0,25
7269540332362_1,47
7272966477981_1,3
7272966477981_2,13
727326407811_0,4
727326407811_1,4
7275574068246,56
7282793325978,1
7284690703039_1,-1
7285851691627_1,16
7286170474597_1,-1
7286170474597_2,13
7287858123763,48
7292925067305,28
7302233012890_1,13
7303581899594,9
7310282628198,38
7310766163194_1,32
7311930625493,4
7311993511654,10
7312769290578,-1
7315040980922,24
7316558866208_1,81
732207993010_1,52
732207993010_2,53
7328300889536,-1
7334617576946,16
7335194990722,9
7336947181060,73
7337783807939,79
733823184513,38
7340702433172,1
7342658258269,-1
7343538162870,15
7346905317514,1
7349910899705,38
7354186057831,4
7357307499410_1,82
7357307499410_2,23
7360157428207_1,-1
7360157428207_2,26
7360157428207_3,27
7364830100324_1,31
7364830100324_2,93
7366830357965,73
7369251273123,14
7370929313033_1,81
7378176270707_0,4
7378176270707_1,-1
7380856533836,1
7380890606310_1,90
7380899749766,1
7382831767005,16
7384880384902,21
7389360861886,1
7391594491239,38
7404507220569_0,115
7404507220569_1,47
7409494730068_1,13
7414107463872,74
7416398820718_1,8
7416398820718_2,8
7417016864739,4
7417429287638_1,9
7419918936789_1,7
7419918936789_2,4
7421254798075_1,49
7421968271701_1,32
7425934348813,16
7426210656510,39
7426294810905_1,21
742736292347,50
7428380463067_0,-1
7428380463067_1,55
7431191484209,4
7431862133433,1
7436012621494,4
7437018302732_0,66
7437018302732_1,25
7437018302732_2,107
744037749532_1,52
744037749532_2,53
7444372005421_1,4
7447637191783,89
7455362647820,-1
7456328717067,48
745641473373,9
7458989670862_0,110
7458989670862_1,3
7461734685504,4
7464862401530,4
7474359281817,60
7475979557447_1,-1
7476640886225_1,24
747746100916,16
7480731123409_0,-1
7480731123409_1,-1
7481756717306,1
7487215654415_0,94
7487215654415_1,7
7487754719626,1
7493132018445_1,3
7497835591823_0,9
7497835591823_1,116
7499886643579_1,-1
7499886643579_2,-1
7504232703517,-1
751014999937_0,4
751014999937_1,25
7515287034027,16
7519025959202,4
752019619628_1,4
7520856793544_0,18
7520856793544_1,5
7524757892892_1,-1
7524757892892_2,5
7525169858977_0,7
7525169858977_1,4
7526461858278,86
7527752142115_0,85
7527752142115_1,4
7533050541474,-1
753451131858_1,4
7537308529909_0,1
7537308529909_1,114
754025700882_1,-1
7542986189710_1,4
7542986189710_2,4
7544937840471,85
7547848914972_1,3
7549343134919,18
7552561041257_1,110
7552561041257_2,80
7560643953132_1,32
7562549874064_1,9
7564110620561,-1
7569846765610,4
7576122476244_0,-1
7576122476244_1,75
7585568854165,16
7587977099718,16
7595191164002_1,90
760122942093,4
7606381014083,3
7606713965970,4
7606767563761,1
7607242464098_0,87
7607242464098_1,17
7608030732424_1,32
7617938968431_1,7
7619013382046_0,-1
7619013382046_1,84
7620342034041,4
7622114032002_1,9
7630071679333,12
7634769578577_1,24
7638304980873,79
7645719809098_1,4
7645800219232_1,-1
7646662886098,-1
7649114424352,12
7652996116980_1,-1
7653243146942,18
7662738608372,51
766663960963,19
767117134940_0,39
767117134940_1,17
7675042147114,16
7676184004391_0,-1
7676184004391_1,45
768081458644,16
7682401840165_1,-1
7683640005222_1,4
7687796258142,81
7690981596478,18
7692755622611,-1
7695651954321,7
770037408770_1,14
770037408770_2,87
770143362790_0,-1
770143362790_1,-1
770143362790_2,115
770143362790_3,4
770143362790_4,4
770143362790_5,-1
7702004593936,4
7705418000486,30
7712309142202_0,-1
7712309142202_1,7
7715517910680_1,4
7722563635283,4
7722584220806_1,29
7727769427321,1
7731138042522,16
7734908336479_0,0
7734908336479_1,4
7736796364350,111
7744125074454,18
7746657823946,-1
7750871839927_0,39
7750871839927_1,-1
7750871839927_2,17
7754016753144,4
7756581526111_1,-1
7756581526111_2,101
7757457037028,10
7763700370883,18
776403768686_1,37
7777806997349_1,5
7788352704141_1,-1
7788352704141_2,84
7788352704141_3,84
7788352704141_4,80
7795613806260_0,4
7795613806260_1,3
7802817783925_1,5
7802817783925_2,81
7805256111943_1,37
7806195419152,16
7807826052466_1,35
780788790090_1,24
7810371938167_1,16
7817395244414,3
7822920276666_1,4
7823162819515,16
7823834368977,66
7825407545871,3
7825479083423,1
7826810234817,95
7832397846878_0,-1
7832397846878_1,-1
7833269312214,-1
783330217576_1,-1
7833990134271,109
7836505650948,4
7836774106625,-1
7838782104008,48
7840186820891,1
7854600095094,16
7856959442579_0,7
7856959442579_1,34
7859977990785_1,-1
7863343233864,42
7863491982733_0,110
7863491982733_1,16
7865305002355_1,32
7866319105357_1,4
786870463619_1,7
7869230555787,3
7876818236147,61
7879241155269_0,25
7879241155269_1,-1
7879241155269_2,4
7879241155269_3,59
7879359724075_0,110
7879359724075_1,-1
7879359724075_2,59
7879915980005,4
7886454914931,65
7887196551534_1,-1
7889423514944,9
789122731378,24
789139876980,0
7892415749377,45
7892966605756_1,29
7894432544542,16
790025671494_1,7
790025671494_2,-1
790025671494_3,3
7902887083394,15
7903591161304_1,4
7903591161304_2,75
7914193634682,12
791579788302,-1
7916947776257,3
7917556724058_1,110
7917556724058_2,80
7919880488473,-1
7921298501920_0,28
7921298501920_1,1
793466625393,94
7936371558306,3
7938027482364_0,39
7938027482364_1,-1
7938027482364_2,17
7944579205690_1,-1
7944579205690_2,-1
7949899550943_0,39
7949899550943_1,17
7950704554383,3
795109466956,4
7951453776383_0,39
7951453776383_1,17
7958439199277,-1
7959216383283,16
7963068062444,4
7965264238503,7
7966927539318,4
7968473078651,0
7972399077945_1,4
7981496519197_1,-1
7981496519197_2,4
7981496519197_3,59
7985599827037,3
79992338,4
8002797273643,19
8011437694755_0,34
8011437694755_1,3
8018230846164_1,82
8018230846164_2,23
8030084348614,56
8030363607962,1
8032809704866,76
8033071330426_0,-1
8033071330426_1,42
8033071330426_2,4
8037997882471,24
8042089749971,1
8044992664670,-1
8049934008779_1,82
8049934008779_2,23
8053064170814,-1
8060272049428,111
8062683089994_1,33
8062808673018,-1
8064033664027,-1
8064459410707,-1
8075500156492,45
8075736047380,34
8077209330056_1,3
8081034677905_0,4
8081034677905_1,-1
8082190367943_1,4
8083093994019,1
8085339485464,4
8086340275576_0,4
8086340275576_1,3
8087941097157,16
8091577650129_1,4
811180930015_0,4
811180930015_1,66
8113798747073,15
8118877564415,1
8119400478910,-1
8121951270193,41
8122675003284,56
8126924569193_1,103
8130075222133,15
8131563389388,79
8140221423676,3
8140565377865,9
8142110118452,3
8142125187070,4
8143632075493,4
8146322476905_0,67
8146322476905_1,67
8147385407402,4
8155102774499_1,-1
8155102774499_2,-1
8166380385143,16
817383898851_0,103
817383898851_1,3
817383898851_2,22
8176118636342,83
8177703753811_1,4
8183844409597,16
8186644287926_0,-1
8186644287926_1,5
8195810858322_0,1
8195810858322_1,36
8196700996524_0,39
8196700996524_1,17
8197971552788_1,13
8204786476646,16
8207683928132,20
8215310223919,-1
8215975631561,1
8221253502744,88
8221350983971_1,-1
8221350983971_2,83
8221350983971_3,85
8222858362505_0,38
8222858362505_1,29
8228122926949,16
8229804346149_0,28
8229804346149_1,4
823042593756,1
8234713211948,98
8237374068236_0,29
8237374068236_1,13
8238141034733,16
8242721534771,4
8243092013703,24
8246567041472_0,36
8246567041472_1,1
8259706251517,-1
8277013202405_0,4
8277013202405_1,3
8279343919882_0,28
8279343919882_1,-1
8287223686409,1
8287770744435,1
8290653234526_0,20
8290653234526_1,72
8294371812956,-1
8299777661367,16
8301737324001_1,16
8307234142895_1,5
8307234142895_2,7
8307565383623_1,56
8310486313582_1,-1
8311894679929,4
832221105614,113
8327441497169_1,4
83277393019_0,-1
83277393019_1,5
83277393019_2,33
8328271685224_1,29
833309774994,-1
833568158438_0,5
833568158438_1,-1
8335806588216,-1
8345113479156,12
8350582613138_1,81
8359502797072,18
8363315273601,7
8367865933172,81
8370574108389,-1
8370637955023,66
8372633250520,1
8373586136029,36
8388803569562,10
8394519306146_1,30
8394519306146_2,31
8394519306146_3,25
839688185103_0,62
839688185103_1,75
8403373316166,10
8403737145290,95
8404261458327_0,4
8404261458327_1,33
8409281245206,54
8413477667058,4
8413539391413,1
8416519683980,1
8427295260559_1,26
8427295260559_2,27
8427295260559_3,-1
8427537758744,4
8432615331876_1,24
8433083274708,46
8434307984621_1,45
8440849230734_0,-1
8440849230734_1,-1
8448893518564,16
8454260865502,1
845649113726,5
8456800612491_1,32
845687621796,1
846039985109,10
8463284669228,4
8464955683297,20
8467913995577,45
8467944155099,-1
8469966547224_1,4
8471665868464,16
8474788465463_1,30
8474788465463_2,38
8474842741440,4
8477714606630,1
8480919745985,9
8481014570601_1,-1
8491349937806,79
8493280068393_0,-1
8493280068393_1,2
8493280068393_2,-1
8498197028941,1
8498315652099,24
8505358302425,-1
8506971869542,1
8507672362904_0,42
8507672362904_1,24
8509628193922,40
851293380725,1
8514425374550,0
852534675933,63
8531017162410,16
8531479289663,16
8532743896419_1,3
8532761763389_0,36
8532761763389_1,5
8533478016601,70
8536421956310,4
8539548635070_0,3
8539548635070_1,99
8540130337807,1
8543336860332_1,97
8545600145064,16
8545793107229,4
8549890468341,38
8554589568329_0,112
8554589568329_1,-1
8554589568329_2,5
8554589568329_3,4
8559986884520,1
8560900101564,-1
8566880670107_1,116
8566880670107_2,1
8570308155182,4
8574597114424,104
8579726677697,16
8580809884529,16
8582824066408,16
859164173776_1,68
8592257852883_0,4
8592257852883_1,13
8592833143659_1,-1
8592833143659_2,-1
8592833143659_3,57
8596964195354_1,4
860083945496,1
860700048793,1
8609804061081,9
8609870907855,15
8610214688849,16
8610837554264,-1
8612009447337,16
8614585465922,16
8619765647209,62
8621215220282_1,49
8622793238059,72
8631748290957,1
8639828896071_0,-1
8639828896071_1,-1
8639828896071_2,17
8641702314521,16
8649067641003,56
865486260455,101
8657718428771,-1
8659899006919_1,4
8659899006919_2,74
8659899006919_3,7
866030151124,16
8666924704633,22
8668821884131,41
8671775612329_0,20
8671775612329_1,-1
8671775612329_2,75
8674084496846,1
867552121385_0,39
867552121385_1,17
8685873830803,7
868681451056,4
8688639102910_1,37
8689250147061_0,-1
8689250147061_1,24
8697173704035,1
8698490939751_0,-1
8698490939751_1,-1
8704714319518_1,24
8713307707551,75
8714456459311,4
8715118171740_1,3
8718382192473_1,4
8720818987458,41
8722955908359,1
872460125520,-1
8726339128058,16
8726926889344_0,68
8726926889344_1,-1
8726926889344_2,15
8726968514361_1,-1
8731283868592_0,58
8731283868592_1,16
8733085173141,9
8740416452628,1
8744913119718,16
8746202469239,12
8748013404105,16
8755773618076,28
8758818877600_1,-1
8758818877600_2,5
8761803044688,4
8764164948362_1,4
8768379050974,1
8770345009447_1,-1
8772200146007_1,-1
8772585334615,24
8774767867611,16
8775888501913,3
8784273583328_1,3
8790137279969,3
8791220609230,-1
