INCIDENCECODE,CLUSTER
1693590759667_4,4
1693590759667_5,-1
1695257194033_1,4
1695257194033_2,77
1695257194033_3,4
1695257194033_4,78
1695779269989_1,4
1695779269989_2,3
1698595691740,1
1701654010777,-1
170419230106,7
1707067932788_1,4
1711694944626,1
1716080757161,79
1718986625566_1,4
1718986625566_2,80
1719906989782,-1
1720060812472_1,32
1721312455608_1,5
1721312455608_2,81
174560728759_0,9
174560728759_1,4
174560728759_2,-1
174560728759_3,82
174560728759_4,23
1750038060631_0,16
1750038060631_1,67
1752022030652_0,62
1752022030652_1,75
1752360619235,16
1755958980464,7
1760704876985,38
176535667557,1
1766695468357_0,9
1766695468357_1,82
1766695468357_2,23
1766695468357_3,-1
1766695468357_4,-1
1767933871411,4
1769473643355_0,39
1769473643355_1,17
178306204242,16
1786302265935,3
1786882140041_0,34
1786882140041_1,7
1787832694299,9
180101558480,83
1808489017974,16
181428488044_1,68
1814677210268,7
1815007183737_1,4
1816436203504,40
1817236149645,4
1829737873544,3
1838141318572_1,8
1838141318572_2,8
1851709855082_1,84
1853789212695_0,58
1853789212695_1,16
1855792171333,-1
1857943489038_1,-1
1858569290948_1,4
1860001684096,62
1865594521880,9
1867652356870,45
187386754087,1
1875587152367_0,85
1875587152367_1,24
1875961504063_1,37
1877651648730_0,5
1877651648730_1,-1
187776093241,86
1878430423958,45
1881871173313,16
1882005051184_1,5
1882005051184_2,-1
1882807668917,4
1888453632638,-1
1891246046284_0,87
1891246046284_1,17
1902296750648,88
1905554469090,89
1911902345979,1
1914158818100,21
1922182391696_1,-1
1923536262974_0,56
1923536262974_1,3
192909239883,18
1929284076507,4
1929602037561,18
1932507957968_0,-1
1932507957968_1,47
1934581205871,24
1937599550383,39
1939081892149,-1
1942753300278_0,63
1942753300278_1,4
1942753300278_2,3
1947638668333,16
1963054113968_0,-1
1963054113968_1,-1
1963756521353_1,46
1965713400978,1
1973873969353_1,45
1974036030545,4
1977554143522,-1
198346929528,90
1983779673312_0,-1
1983779673312_1,24
1987089165027,-1
1987978823948,18
1988655604090_1,4
1989176745858,38
1989301021845_0,4
1989301021845_1,53
1989301021845_2,53
1989301021845_3,74
1990593234616_0,85
1990593234616_1,24
1993135258282_1,32
1993870836218,16
2003603464495_0,4
2003603464495_1,-1
2007709017458_0,28
2007709017458_1,1
201179595980_1,-1
2019222346348,-1
2029596198729_0,-1
2029596198729_1,4
2029596198729_2,11
2029596198729_3,24
2033827211014_1,91
2037676362351,-1
2044006373970_0,81
2044006373970_1,1
2045083258317,4
2045262693713,48
2051374500364_0,30
2051374500364_1,92
2060511089099_0,4
2060511089099_1,-1
